design_type,meancolorH,meancolorS,meancolorL,domcolorH,domcolorS,domcolorL,speed_size_w,speed_size_h,speed_loc_x,speed_loc_y,uda_l_menudepth,uda_c_meudepth,uda_r_menudepth,sa_size_w,sa_size_h,sa_loc_x,sa_loc_y,extend_loc_x,extend_loc_y,uda_l_loc_x,uda_l_loc_y,uda_l_size_w,uda_l_size_h,uda_c_size_w,uda_c_size_h,uda_c_loc_x,uda_c_loc_y,uda_r_size_w,uda_r_size_h,uda_r_loc_x,uda_r_loc_y
Ostandard,206,12,11,170,30,54,123,117,705,238,6,5,,288,130,1057,415,,,212,430,242,234,,,,,252,155,1088,425
Osmart,228,9,10,,,,178,92,690,138,6,5,,288,130,1057,415,220,474,197,468,791,287,,,,,252,155,1088,425
Onavi,220,9,14,,,,178,92,690,138,6,,,288,130,1057,415,,,212,430,242,234,,,,,252,155,1088,425
Oassist,218,12,13,,,,178,92,690,138,6,,5,675,353,470,555,,,212,430,242,234,,,,,252,155,1088,425
Ominimal,218,12,13,,,,178,92,690,138,6,5,,288,130,1057,415,,,212,430,242,234,,,,,252,155,1088,425
Estandard,207,14,13,170,30,54,123,117,705,238,6,,,288,130,1057,415,220,474,212,430,242,234,308,163,619,467,252,155,1088,425
Esmart,228,10,10,,,,178,92,690,138,6,,,288,130,1057,415,220,474,212,430,242,234,,,,,252,155,1088,425
Enavi,216,7,14,,,,178,92,690,138,6,,,288,130,1057,415,220,474,212,430,242,234,,,,,252,155,1088,425
Eassist,225,11,14,,,,178,92,690,138,6,,,630,393,630,393,220,474,212,430,242,234,,,,,252,155,1088,425
Eminimal,225,11,14,,,,123,117,705,238,6,,,288,130,1057,415,220,474,212,430,242,234,,,,,252,155,1088,425
